,rating
rating,1.0
runtimeMinutes,0.39566702973853995
votes,0.3537435522365636
lzma_bytes,0.12095397707588668
unique_words,0.11454593416657453
bz2_bytes,0.10695646934265142
word_entropy,0.09757279885284463
gzip_bytes,0.09618529801201521
avg_word_length,0.08088902846501567
original_bytes,0.0727847633789346
clean_text_length,0.07145325633801607
clean_text_words,0.06694346559305424
original_text_chars,0.06458374251811022
char_entropy,0.06090193436741294
segment_count,0.06066143295940726
trigram_entropy,0.05798648132231606
avg_words_per_segment,0.03421554862262891
gzip_bits_per_byte,0.02090534302499103
gzip_ratio,0.020898978997513543
lzma_saving,0.020364631366160808
bz2_saving,0.01455151540276182
bigram_entropy,0.012728523028923265
vocabulary_richness,-0.013533909519177403
bz2_bits_per_byte,-0.014550333497768792
bz2_ratio,-0.01455151540276182
lzma_bits_per_byte,-0.020349039167372074
lzma_ratio,-0.020364631366160808
gzip_saving,-0.020898978997513543
year,-0.0472445441581125
