model,rows_used,feature_count,cv_folds,r2_mean,mae_mean,rmse_mean
ridge,1304,23,5,0.00042006116237003344,0.7290914855277205,0.9226871201944484
random_forest,1304,23,5,-0.005924459954265826,0.7366436851360219,0.9251775379381599
gradient_boosting,1304,23,5,-0.04557943004102962,0.7406623281435856,0.943776378809492
xgboost,1304,23,5,-0.06421318244346581,0.7528015106214102,0.9516144624901892
linear_regression,1304,23,5,-0.12205732298490504,0.7416869106080406,0.9808567114291593
