,rating
rating,1.0
votes,0.40457360716948215
runtimeMinutes,0.3858264111297762
lzma_bytes,0.12557807409676625
bz2_bytes,0.11800677662767022
unique_words,0.11685843399489237
gzip_bytes,0.10003376420523015
original_bytes,0.08389694219962596
word_entropy,0.08129906123398191
clean_text_length,0.08100320148118974
clean_text_words,0.07708565910128477
original_text_chars,0.07116849592394946
segment_count,0.06730493751280159
gzip_ratio,0.06260868665873828
gzip_bits_per_byte,0.06260867641497102
avg_word_length,0.04971024705639861
trigram_entropy,0.04607702956773793
avg_words_per_segment,0.04179158113024622
char_entropy,0.029636823456131153
bigram_entropy,0.01943981133243608
bz2_saving,0.010024459230394394
lzma_saving,0.009507822070203691
lzma_ratio,-0.009507822070206659
lzma_bits_per_byte,-0.009507838054523375
bz2_bits_per_byte,-0.010024417189139883
bz2_ratio,-0.010024459230394028
vocabulary_richness,-0.01692235232333771
year,-0.03414653559445294
gzip_saving,-0.06260868665873524
