model,rows_used,feature_count,cv_folds,r2_mean,mae_mean,rmse_mean
gradient_boosting,1304,39,5,0.39552082261523597,0.544845290409985,0.7187964105585932
ridge,1304,39,5,0.3929825097477722,0.5427923995274619,0.7200537182547163
random_forest,1304,39,5,0.3896485410617864,0.5447958103498672,0.7222551489012636
xgboost,1304,39,5,0.38946090215352075,0.5454398662379945,0.7223046292722052
linear_regression,1304,39,5,0.3558646951739514,0.5552081392326867,0.7427859016907312
